description,priority
Dim lights making park unsafe at market,Low
Exposed live electric wire near factory gate,High
Noise pollution from vehicles at bus stop,Medium
Water leakage from pipe at office area,Medium
Broken sidewalk at flyover,Medium
Posters defacing public property at main road,Low
Exposed live electric wire near hospital entrance,High
Noise pollution from vehicles at flyover,Medium
Street vendors occupying footpath at playground,Low
Broken sidewalk at underpass,Medium
Overflowing garbage bins at underpass,Medium
Sewage overflowing on hospital entrance street,High
Streetlight not working near shopping mall,Medium
Minor cracks on road at playground,Low
Dust from construction at shopping mall,Medium
Park benches broken at factory gate,Low
Minor cracks on road at riverbank,Low
Posters defacing public property at riverbank,Low
Sewage overflowing on office area street,High
Sewage overflowing on flyover street,High
Power line down after storm near riverbank,High
Traffic signal malfunctioning at main road,Medium
Collapsed footbridge at college campus,High
Illegal parking near college campus,Medium
Flooded underpass at college campus blocking traffic,High
Blocked drainage causing foul smell at school gate,Medium
Contaminated water supply reported at community hall,High
Posters defacing public property at temple road,Low
Noise pollution from vehicles at market,Medium
Rickshaw stand creating congestion at bus stop,Medium
Sewage overflowing on riverbank street,High
Street vendors occupying footpath at riverbank,Low
Water leakage from pipe at stadium,Medium
Park benches broken at office area,Low
Dust from construction at playground,Medium
Park benches broken at underpass,Low
Power line down after storm near flyover,High
Blocked drainage causing foul smell at hospital entrance,Medium
Flooded underpass at school gate blocking traffic,High
Contaminated water supply reported at slum area,High
Rickshaw stand creating congestion at playground,Medium
Dim lights making park unsafe at playground,Low
Posters defacing public property at flyover,Low
Dust from construction at hospital entrance,Medium
Collapsed footbridge at market,High
Sewage overflowing on slum area street,High
Streetlight not working near office area,Medium
Illegal parking near flyover,Medium
Collapsed footbridge at highway,High
Overflowing garbage bins at playground,Medium
Water leakage from pipe at riverbank,Medium
Illegal parking near college campus,Medium
Power line down after storm near hospital entrance,High
Graffiti on walls near market,Low
Fire hazard due to garbage burning at flyover,High
Streetlight not working near highway,Medium
Traffic signal malfunctioning at flyover,Medium
Sewage overflowing on temple road street,High
Blocked drainage causing foul smell at bus stop,Medium
Exposed live electric wire near playground,High
Open manhole at shopping mall posing danger,High
Improper street sweeping at market,Low
Flooded underpass at flyover blocking traffic,High
Broken sidewalk at main road,Medium
Posters defacing public property at factory gate,Low
Stray animals loitering at temple road,Low
Improper street sweeping at slum area,Low
Blocked drainage causing foul smell at office area,Medium
Illegal parking near main road,Medium
Broken sidewalk at underpass,Medium
Park benches broken at playground,Low
Rickshaw stand creating congestion at highway,Medium
Blocked drainage causing foul smell at shopping mall,Medium
Open manhole at office area posing danger,High
Rickshaw stand creating congestion at college campus,Medium
Broken sidewalk at market,Medium
Graffiti on walls near highway,Low
Stray animals loitering at school gate,Low
Fire hazard due to garbage burning at factory gate,High
Improper street sweeping at school gate,Low
Graffiti on walls near shopping mall,Low
Contaminated water supply reported at main road,High
Traffic signal malfunctioning at flyover,Medium
Noise pollution from vehicles at residential street,Medium
Noise pollution from vehicles at underpass,Medium
Major pothole on market causing accidents,High
Overflowing garbage bins at stadium,Medium
Major pothole on community hall causing accidents,High
Collapsed footbridge at railway station,High
Exposed live electric wire near college campus,High
Traffic signal malfunctioning at community hall,Medium
Traffic signal malfunctioning at community hall,Medium
Park benches broken at school gate,Low
Street vendors occupying footpath at playground,Low
Power line down after storm near railway station,High
Illegal parking near slum area,Medium
Illegal parking near community hall,Medium
Collapsed footbridge at shopping mall,High
Sewage overflowing on residential street street,High
Posters defacing public property at residential street,Low
Exposed live electric wire near temple road,High
Flooded underpass at school gate blocking traffic,High
Graffiti on walls near riverbank,Low
Streetlight not working near railway station,Medium
Street vendors occupying footpath at hospital entrance,Low
Collapsed footbridge at factory gate,High
Illegal parking near hospital entrance,Medium
Posters defacing public property at office area,Low
Illegal parking near flyover,Medium
Dim lights making park unsafe at temple road,Low
Exposed live electric wire near hospital entrance,High
Blocked drainage causing foul smell at community hall,Medium
Encroachment by vendors at stadium,Low
Minor cracks on road at hospital entrance,Low
Overflowing garbage bins at college campus,Medium
Park benches broken at residential street,Low
Posters defacing public property at riverbank,Low
Encroachment by vendors at school gate,Low
Open manhole at shopping mall posing danger,High
Rickshaw stand creating congestion at slum area,Medium
Open manhole at school gate posing danger,High
Fire hazard due to garbage burning at office area,High
Power line down after storm near residential street,High
Exposed live electric wire near college campus,High
Water leakage from pipe at railway station,Medium
Collapsed footbridge at office area,High
Major pothole on community hall causing accidents,High
Public toilet unhygienic at factory gate,Low
Blocked drainage causing foul smell at slum area,Medium
Water leakage from pipe at slum area,Medium
Open manhole at residential street posing danger,High
Encroachment by vendors at hospital entrance,Low
Street vendors occupying footpath at playground,Low
Broken sidewalk at slum area,Medium
Sewage overflowing on shopping mall street,High
Encroachment by vendors at playground,Low
Exposed live electric wire near railway station,High
Stray animals loitering at riverbank,Low
Fire hazard due to garbage burning at underpass,High
Rickshaw stand creating congestion at highway,Medium
Illegal parking near factory gate,Medium
Rickshaw stand creating congestion at college campus,Medium
Graffiti on walls near flyover,Low
Sewage overflowing on hospital entrance street,High
Park benches broken at office area,Low
Minor cracks on road at underpass,Low
Water leakage from pipe at hospital entrance,Medium
Sewage overflowing on stadium street,High
Overflowing garbage bins at bus stop,Medium
Fire hazard due to garbage burning at underpass,High
Park benches broken at riverbank,Low
Open manhole at underpass posing danger,High
Fire hazard due to garbage burning at hospital entrance,High
Streetlight not working near highway,Medium
Rickshaw stand creating congestion at hospital entrance,Medium
Gas leak reported near residential street,High
Water leakage from pipe at residential street,Medium
Park benches broken at main road,Low
Overflowing garbage bins at market,Medium
Water leakage from pipe at bus stop,Medium
Dim lights making park unsafe at community hall,Low
Illegal parking near hospital entrance,Medium
Contaminated water supply reported at community hall,High
Broken sidewalk at highway,Medium
Sewage overflowing on school gate street,High
Posters defacing public property at market,Low
Minor cracks on road at slum area,Low
Public toilet unhygienic at residential street,Low
Major pothole on factory gate causing accidents,High
Public toilet unhygienic at playground,Low
Sewage overflowing on railway station street,High
Contaminated water supply reported at underpass,High
Traffic signal malfunctioning at hospital entrance,Medium
Collapsed footbridge at main road,High
Contaminated water supply reported at flyover,High
Public toilet unhygienic at residential street,Low
Broken sidewalk at residential street,Medium
Streetlight not working near office area,Medium
Traffic signal malfunctioning at highway,Medium
Improper street sweeping at main road,Low
Park benches broken at slum area,Low
Street vendors occupying footpath at hospital entrance,Low
Overflowing garbage bins at temple road,Medium
Traffic signal malfunctioning at hospital entrance,Medium
Graffiti on walls near school gate,Low
Illegal parking near underpass,Medium
Improper street sweeping at hospital entrance,Low
Traffic signal malfunctioning at playground,Medium
Flooded underpass at office area blocking traffic,High
Street vendors occupying footpath at bus stop,Low
Traffic signal malfunctioning at hospital entrance,Medium
Overflowing garbage bins at underpass,Medium
Traffic signal malfunctioning at shopping mall,Medium
Major pothole on residential street causing accidents,High
Public toilet unhygienic at playground,Low
Gas leak reported near highway,High
Exposed live electric wire near railway station,High
Traffic signal malfunctioning at factory gate,Medium
Park benches broken at underpass,Low
Dust from construction at office area,Medium
Street vendors occupying footpath at bus stop,Low
Dim lights making park unsafe at slum area,Low
Graffiti on walls near shopping mall,Low
Open manhole at community hall posing danger,High
Exposed live electric wire near community hall,High
Overflowing garbage bins at main road,Medium
Park benches broken at factory gate,Low
Posters defacing public property at shopping mall,Low
Gas leak reported near underpass,High
Flooded underpass at residential street blocking traffic,High
Dust from construction at highway,Medium
Power line down after storm near community hall,High
Flooded underpass at playground blocking traffic,High
Broken sidewalk at railway station,Medium
Dim lights making park unsafe at underpass,Low
Overflowing garbage bins at highway,Medium
Broken sidewalk at stadium,Medium
Street vendors occupying footpath at underpass,Low
Major pothole on bus stop causing accidents,High
Fire hazard due to garbage burning at stadium,High
Dim lights making park unsafe at college campus,Low
Posters defacing public property at railway station,Low
Stray animals loitering at slum area,Low
Blocked drainage causing foul smell at riverbank,Medium
Power line down after storm near office area,High
Public toilet unhygienic at temple road,Low
Park benches broken at hospital entrance,Low
Illegal parking near flyover,Medium
Traffic signal malfunctioning at main road,Medium
Fire hazard due to garbage burning at flyover,High
Broken sidewalk at bus stop,Medium
Fire hazard due to garbage burning at college campus,High
Encroachment by vendors at slum area,Low
Illegal parking near underpass,Medium
Minor cracks on road at railway station,Low
Major pothole on shopping mall causing accidents,High
Overflowing garbage bins at community hall,Medium
Noise pollution from vehicles at residential street,Medium
Blocked drainage causing foul smell at community hall,Medium
Streetlight not working near factory gate,Medium
Stray animals loitering at bus stop,Low
Sewage overflowing on bus stop street,High
Overflowing garbage bins at slum area,Medium
Graffiti on walls near residential street,Low
Flooded underpass at factory gate blocking traffic,High
Improper street sweeping at office area,Low
Posters defacing public property at college campus,Low
Minor cracks on road at factory gate,Low
Encroachment by vendors at office area,Low
Posters defacing public property at bus stop,Low
Illegal parking near riverbank,Medium
Sewage overflowing on school gate street,High
Dust from construction at shopping mall,Medium
Street vendors occupying footpath at bus stop,Low
Gas leak reported near flyover,High
Streetlight not working near stadium,Medium
Blocked drainage causing foul smell at railway station,Medium
Major pothole on factory gate causing accidents,High
Rickshaw stand creating congestion at college campus,Medium
Encroachment by vendors at playground,Low
Flooded underpass at community hall blocking traffic,High
Gas leak reported near college campus,High
Illegal parking near riverbank,Medium
Broken sidewalk at slum area,Medium
Dim lights making park unsafe at stadium,Low
Street vendors occupying footpath at playground,Low
Posters defacing public property at market,Low
Graffiti on walls near community hall,Low
Exposed live electric wire near residential street,High
Minor cracks on road at main road,Low
Contaminated water supply reported at highway,High
Broken sidewalk at school gate,Medium
Graffiti on walls near hospital entrance,Low
Dust from construction at shopping mall,Medium
Dim lights making park unsafe at underpass,Low
Graffiti on walls near college campus,Low
Park benches broken at main road,Low
Open manhole at main road posing danger,High
Encroachment by vendors at community hall,Low
Blocked drainage causing foul smell at residential street,Medium
Encroachment by vendors at underpass,Low
Open manhole at stadium posing danger,High
Contaminated water supply reported at flyover,High
Improper street sweeping at shopping mall,Low
Open manhole at railway station posing danger,High
Collapsed footbridge at residential street,High
Collapsed footbridge at riverbank,High
Streetlight not working near residential street,Medium
Overflowing garbage bins at flyover,Medium
Traffic signal malfunctioning at bus stop,Medium
Park benches broken at flyover,Low
Water leakage from pipe at riverbank,Medium
Minor cracks on road at shopping mall,Low
Stray animals loitering at market,Low
Improper street sweeping at college campus,Low
Encroachment by vendors at main road,Low
Graffiti on walls near riverbank,Low
Streetlight not working near temple road,Medium
Sewage overflowing on office area street,High
Noise pollution from vehicles at shopping mall,Medium
Illegal parking near office area,Medium
Stray animals loitering at riverbank,Low
Streetlight not working near residential street,Medium
Power line down after storm near playground,High
Open manhole at bus stop posing danger,High
Minor cracks on road at stadium,Low
Open manhole at shopping mall posing danger,High
Major pothole on bus stop causing accidents,High
Blocked drainage causing foul smell at school gate,Medium
Sewage overflowing on railway station street,High
Posters defacing public property at factory gate,Low
Park benches broken at temple road,Low
Water leakage from pipe at college campus,Medium
Stray animals loitering at flyover,Low
Fire hazard due to garbage burning at office area,High
Graffiti on walls near railway station,Low
Water leakage from pipe at highway,Medium
Posters defacing public property at community hall,Low
Noise pollution from vehicles at college campus,Medium
Power line down after storm near residential street,High
Public toilet unhygienic at slum area,Low
Park benches broken at playground,Low
Flooded underpass at underpass blocking traffic,High
Open manhole at playground posing danger,High
Posters defacing public property at railway station,Low
Power line down after storm near shopping mall,High
Flooded underpass at playground blocking traffic,High
Posters defacing public property at slum area,Low
Rickshaw stand creating congestion at temple road,Medium
Illegal parking near temple road,Medium
Encroachment by vendors at bus stop,Low
Sewage overflowing on stadium street,High
Sewage overflowing on hospital entrance street,High
Fire hazard due to garbage burning at main road,High
Major pothole on temple road causing accidents,High
Street vendors occupying footpath at riverbank,Low
Fire hazard due to garbage burning at shopping mall,High
Water leakage from pipe at riverbank,Medium
Encroachment by vendors at flyover,Low
Fire hazard due to garbage burning at market,High
Park benches broken at market,Low
Gas leak reported near school gate,High
Park benches broken at underpass,Low
Gas leak reported near highway,High
Gas leak reported near temple road,High
Sewage overflowing on railway station street,High
Noise pollution from vehicles at market,Medium
Dim lights making park unsafe at bus stop,Low
Sewage overflowing on college campus street,High
Major pothole on highway causing accidents,High
Power line down after storm near stadium,High
Improper street sweeping at underpass,Low
Rickshaw stand creating congestion at highway,Medium
Traffic signal malfunctioning at riverbank,Medium
Fire hazard due to garbage burning at playground,High
Illegal parking near flyover,Medium
Broken sidewalk at factory gate,Medium
Graffiti on walls near community hall,Low
Blocked drainage causing foul smell at underpass,Medium
Dust from construction at factory gate,Medium
Public toilet unhygienic at shopping mall,Low
Sewage overflowing on bus stop street,High
Traffic signal malfunctioning at factory gate,Medium
Street vendors occupying footpath at slum area,Low
Open manhole at railway station posing danger,High
Encroachment by vendors at market,Low
Blocked drainage causing foul smell at residential street,Medium
Encroachment by vendors at railway station,Low
Traffic signal malfunctioning at factory gate,Medium
Collapsed footbridge at railway station,High
Gas leak reported near market,High
Gas leak reported near residential street,High
Blocked drainage causing foul smell at underpass,Medium
Noise pollution from vehicles at office area,Medium
Broken sidewalk at riverbank,Medium
Contaminated water supply reported at highway,High
Improper street sweeping at railway station,Low
Collapsed footbridge at office area,High
Posters defacing public property at slum area,Low
Power line down after storm near school gate,High
Blocked drainage causing foul smell at stadium,Medium
Collapsed footbridge at factory gate,High
Gas leak reported near office area,High
Dust from construction at highway,Medium
Dim lights making park unsafe at bus stop,Low
Traffic signal malfunctioning at main road,Medium
Water leakage from pipe at hospital entrance,Medium
Illegal parking near railway station,Medium
Open manhole at playground posing danger,High
Graffiti on walls near highway,Low
Traffic signal malfunctioning at stadium,Medium
Posters defacing public property at college campus,Low
Illegal parking near underpass,Medium
Contaminated water supply reported at residential street,High
Dim lights making park unsafe at underpass,Low
Water leakage from pipe at stadium,Medium
Gas leak reported near highway,High
Graffiti on walls near school gate,Low
Improper street sweeping at residential street,Low
Park benches broken at main road,Low
Water leakage from pipe at shopping mall,Medium
Stray animals loitering at temple road,Low
Minor cracks on road at office area,Low
Streetlight not working near underpass,Medium
Dust from construction at bus stop,Medium
Streetlight not working near school gate,Medium
Sewage overflowing on riverbank street,High
Illegal parking near college campus,Medium
Improper street sweeping at market,Low
Stray animals loitering at bus stop,Low
Improper street sweeping at college campus,Low
Collapsed footbridge at bus stop,High
Graffiti on walls near railway station,Low
Major pothole on community hall causing accidents,High
Posters defacing public property at stadium,Low
Encroachment by vendors at slum area,Low
Traffic signal malfunctioning at college campus,Medium
Major pothole on office area causing accidents,High
Improper street sweeping at flyover,Low
Street vendors occupying footpath at market,Low
Improper street sweeping at playground,Low
Broken sidewalk at flyover,Medium
Collapsed footbridge at flyover,High
Rickshaw stand creating congestion at school gate,Medium
Broken sidewalk at bus stop,Medium
Encroachment by vendors at main road,Low
Illegal parking near college campus,Medium
Power line down after storm near playground,High
Contaminated water supply reported at community hall,High
Minor cracks on road at temple road,Low
Power line down after storm near flyover,High
Open manhole at temple road posing danger,High
Power line down after storm near school gate,High
Rickshaw stand creating congestion at main road,Medium
Illegal parking near temple road,Medium
Encroachment by vendors at playground,Low
Blocked drainage causing foul smell at playground,Medium
Posters defacing public property at playground,Low
Encroachment by vendors at railway station,Low
Water leakage from pipe at school gate,Medium
Blocked drainage causing foul smell at school gate,Medium
Open manhole at hospital entrance posing danger,High
Dust from construction at railway station,Medium
Improper street sweeping at hospital entrance,Low
Power line down after storm near hospital entrance,High
Gas leak reported near flyover,High
Illegal parking near highway,Medium
Minor cracks on road at stadium,Low
Traffic signal malfunctioning at office area,Medium
Contaminated water supply reported at highway,High
Gas leak reported near hospital entrance,High
Posters defacing public property at temple road,Low
Illegal parking near community hall,Medium
Encroachment by vendors at school gate,Low
Traffic signal malfunctioning at college campus,Medium
Overflowing garbage bins at underpass,Medium
Water leakage from pipe at stadium,Medium
Minor cracks on road at riverbank,Low
Park benches broken at railway station,Low
Fire hazard due to garbage burning at playground,High
Overflowing garbage bins at slum area,Medium
Major pothole on hospital entrance causing accidents,High
Dim lights making park unsafe at flyover,Low
Encroachment by vendors at hospital entrance,Low
Posters defacing public property at factory gate,Low
Broken sidewalk at school gate,Medium
Open manhole at residential street posing danger,High
Power line down after storm near college campus,High
Contaminated water supply reported at bus stop,High
Public toilet unhygienic at temple road,Low
Street vendors occupying footpath at railway station,Low
Street vendors occupying footpath at main road,Low
Major pothole on playground causing accidents,High
Sewage overflowing on shopping mall street,High
Blocked drainage causing foul smell at residential street,Medium
Fire hazard due to garbage burning at flyover,High
Overflowing garbage bins at playground,Medium
Blocked drainage causing foul smell at railway station,Medium
Graffiti on walls near factory gate,Low
Exposed live electric wire near slum area,High
Dim lights making park unsafe at bus stop,Low
Dim lights making park unsafe at stadium,Low
Street vendors occupying footpath at highway,Low
Posters defacing public property at shopping mall,Low
Illegal parking near bus stop,Medium
Minor cracks on road at stadium,Low
Collapsed footbridge at flyover,High
Noise pollution from vehicles at underpass,Medium
Exposed live electric wire near slum area,High
Illegal parking near temple road,Medium
Gas leak reported near residential street,High
Water leakage from pipe at hospital entrance,Medium
Collapsed footbridge at market,High
Stray animals loitering at flyover,Low
Rickshaw stand creating congestion at factory gate,Medium
Rickshaw stand creating congestion at factory gate,Medium
Rickshaw stand creating congestion at main road,Medium
Minor cracks on road at hospital entrance,Low
Street vendors occupying footpath at main road,Low
Fire hazard due to garbage burning at slum area,High
Streetlight not working near railway station,Medium
Park benches broken at office area,Low
Major pothole on shopping mall causing accidents,High
Improper street sweeping at market,Low
Exposed live electric wire near main road,High
Encroachment by vendors at playground,Low
Broken sidewalk at underpass,Medium
Rickshaw stand creating congestion at playground,Medium
Streetlight not working near playground,Medium
Public toilet unhygienic at temple road,Low
Collapsed footbridge at college campus,High
Exposed live electric wire near bus stop,High
Rickshaw stand creating congestion at flyover,Medium
Street vendors occupying footpath at riverbank,Low
Contaminated water supply reported at main road,High
Encroachment by vendors at residential street,Low
Encroachment by vendors at bus stop,Low
Graffiti on walls near stadium,Low
Minor cracks on road at school gate,Low
Gas leak reported near residential street,High
Encroachment by vendors at bus stop,Low
Minor cracks on road at market,Low
Streetlight not working near playground,Medium
Power line down after storm near bus stop,High
Minor cracks on road at temple road,Low
Overflowing garbage bins at playground,Medium
Blocked drainage causing foul smell at railway station,Medium
Noise pollution from vehicles at shopping mall,Medium
Rickshaw stand creating congestion at stadium,Medium
Minor cracks on road at railway station,Low
Streetlight not working near residential street,Medium
Broken sidewalk at flyover,Medium
Illegal parking near bus stop,Medium
Encroachment by vendors at college campus,Low
Major pothole on highway causing accidents,High
Power line down after storm near shopping mall,High
Flooded underpass at slum area blocking traffic,High
Overflowing garbage bins at temple road,Medium
Broken sidewalk at highway,Medium
Traffic signal malfunctioning at highway,Medium
Exposed live electric wire near school gate,High
Flooded underpass at shopping mall blocking traffic,High
Major pothole on hospital entrance causing accidents,High
Contaminated water supply reported at factory gate,High
Traffic signal malfunctioning at main road,Medium
Major pothole on market causing accidents,High
Minor cracks on road at temple road,Low
Flooded underpass at factory gate blocking traffic,High
Posters defacing public property at highway,Low
Water leakage from pipe at railway station,Medium
Improper street sweeping at stadium,Low
Graffiti on walls near market,Low
Power line down after storm near playground,High
Noise pollution from vehicles at underpass,Medium
Blocked drainage causing foul smell at shopping mall,Medium
Collapsed footbridge at flyover,High
Contaminated water supply reported at college campus,High
Power line down after storm near underpass,High
Dim lights making park unsafe at community hall,Low
Broken sidewalk at temple road,Medium
Exposed live electric wire near community hall,High
Fire hazard due to garbage burning at bus stop,High
Flooded underpass at playground blocking traffic,High
Open manhole at flyover posing danger,High
Stray animals loitering at railway station,Low
Blocked drainage causing foul smell at factory gate,Medium
Public toilet unhygienic at hospital entrance,Low
Exposed live electric wire near hospital entrance,High
Park benches broken at shopping mall,Low
Stray animals loitering at flyover,Low
Collapsed footbridge at office area,High
Minor cracks on road at community hall,Low
Improper street sweeping at railway station,Low
Water leakage from pipe at railway station,Medium
Dim lights making park unsafe at railway station,Low
Traffic signal malfunctioning at office area,Medium
Gas leak reported near residential street,High
Encroachment by vendors at factory gate,Low
Street vendors occupying footpath at main road,Low
Major pothole on market causing accidents,High
Posters defacing public property at school gate,Low
Public toilet unhygienic at riverbank,Low
Dust from construction at highway,Medium
Park benches broken at playground,Low
Improper street sweeping at stadium,Low
Park benches broken at market,Low
Encroachment by vendors at railway station,Low
Power line down after storm near temple road,High
Encroachment by vendors at slum area,Low
Illegal parking near factory gate,Medium
Posters defacing public property at main road,Low
Encroachment by vendors at flyover,Low
Minor cracks on road at riverbank,Low
Collapsed footbridge at underpass,High
Power line down after storm near college campus,High
Gas leak reported near temple road,High
Power line down after storm near school gate,High
Noise pollution from vehicles at slum area,Medium
Rickshaw stand creating congestion at stadium,Medium
Noise pollution from vehicles at bus stop,Medium
Gas leak reported near railway station,High
Traffic signal malfunctioning at office area,Medium
Power line down after storm near hospital entrance,High
Traffic signal malfunctioning at shopping mall,Medium
Sewage overflowing on flyover street,High
Public toilet unhygienic at highway,Low
Water leakage from pipe at bus stop,Medium
Overflowing garbage bins at railway station,Medium
Water leakage from pipe at underpass,Medium
Stray animals loitering at residential street,Low
Contaminated water supply reported at railway station,High
Traffic signal malfunctioning at community hall,Medium
Sewage overflowing on factory gate street,High
Sewage overflowing on factory gate street,High
Posters defacing public property at flyover,Low
Water leakage from pipe at school gate,Medium
Noise pollution from vehicles at stadium,Medium
Streetlight not working near railway station,Medium
Street vendors occupying footpath at college campus,Low
Overflowing garbage bins at community hall,Medium
Graffiti on walls near community hall,Low
Minor cracks on road at college campus,Low
Streetlight not working near school gate,Medium
Open manhole at community hall posing danger,High
Overflowing garbage bins at main road,Medium
Noise pollution from vehicles at temple road,Medium
Dust from construction at stadium,Medium
Stray animals loitering at railway station,Low
Collapsed footbridge at riverbank,High
Blocked drainage causing foul smell at highway,Medium
Stray animals loitering at shopping mall,Low
Graffiti on walls near flyover,Low
Street vendors occupying footpath at flyover,Low
Noise pollution from vehicles at shopping mall,Medium
Dim lights making park unsafe at flyover,Low
Public toilet unhygienic at college campus,Low
Improper street sweeping at school gate,Low
Public toilet unhygienic at office area,Low
Minor cracks on road at community hall,Low
Power line down after storm near college campus,High
Flooded underpass at bus stop blocking traffic,High
Noise pollution from vehicles at underpass,Medium
Park benches broken at office area,Low
Water leakage from pipe at playground,Medium
Street vendors occupying footpath at hospital entrance,Low
Dim lights making park unsafe at slum area,Low
Stray animals loitering at main road,Low
Dim lights making park unsafe at flyover,Low
Graffiti on walls near school gate,Low
Noise pollution from vehicles at school gate,Medium
Public toilet unhygienic at shopping mall,Low
Blocked drainage causing foul smell at market,Medium
Water leakage from pipe at stadium,Medium
Illegal parking near underpass,Medium
Broken sidewalk at flyover,Medium
Noise pollution from vehicles at community hall,Medium
Street vendors occupying footpath at factory gate,Low
Noise pollution from vehicles at community hall,Medium
Public toilet unhygienic at factory gate,Low
Rickshaw stand creating congestion at underpass,Medium
Graffiti on walls near underpass,Low
Streetlight not working near stadium,Medium
Streetlight not working near main road,Medium
Streetlight not working near community hall,Medium
Open manhole at main road posing danger,High
Fire hazard due to garbage burning at shopping mall,High
Major pothole on highway causing accidents,High
Noise pollution from vehicles at main road,Medium
Broken sidewalk at stadium,Medium
Streetlight not working near college campus,Medium
Park benches broken at factory gate,Low
Contaminated water supply reported at shopping mall,High
Stray animals loitering at flyover,Low
Posters defacing public property at market,Low
Flooded underpass at temple road blocking traffic,High
Collapsed footbridge at community hall,High
Public toilet unhygienic at underpass,Low
Exposed live electric wire near office area,High
Improper street sweeping at hospital entrance,Low
Overflowing garbage bins at community hall,Medium
Sewage overflowing on underpass street,High
Noise pollution from vehicles at bus stop,Medium
Overflowing garbage bins at temple road,Medium
Overflowing garbage bins at office area,Medium
Fire hazard due to garbage burning at playground,High
Contaminated water supply reported at temple road,High
Contaminated water supply reported at underpass,High
Broken sidewalk at hospital entrance,Medium
Improper street sweeping at bus stop,Low
Gas leak reported near bus stop,High
Improper street sweeping at main road,Low
Broken sidewalk at residential street,Medium
Traffic signal malfunctioning at stadium,Medium
Rickshaw stand creating congestion at stadium,Medium
Encroachment by vendors at bus stop,Low
Collapsed footbridge at bus stop,High
Graffiti on walls near temple road,Low
Posters defacing public property at office area,Low
Improper street sweeping at highway,Low
Broken sidewalk at office area,Medium
Collapsed footbridge at market,High
Improper street sweeping at factory gate,Low
Dim lights making park unsafe at riverbank,Low
Traffic signal malfunctioning at shopping mall,Medium
Street vendors occupying footpath at factory gate,Low
Traffic signal malfunctioning at main road,Medium
Illegal parking near market,Medium
Collapsed footbridge at community hall,High
Posters defacing public property at playground,Low
Stray animals loitering at school gate,Low
Broken sidewalk at temple road,Medium
Streetlight not working near hospital entrance,Medium
Stray animals loitering at flyover,Low
Blocked drainage causing foul smell at highway,Medium
Stray animals loitering at playground,Low
Contaminated water supply reported at market,High
Minor cracks on road at underpass,Low
Noise pollution from vehicles at college campus,Medium
Gas leak reported near residential street,High
Graffiti on walls near residential street,Low
Graffiti on walls near bus stop,Low
Power line down after storm near stadium,High
Streetlight not working near office area,Medium
Encroachment by vendors at hospital entrance,Low
Improper street sweeping at main road,Low
Flooded underpass at railway station blocking traffic,High
Minor cracks on road at playground,Low
Sewage overflowing on residential street street,High
Encroachment by vendors at hospital entrance,Low
Streetlight not working near residential street,Medium
Streetlight not working near residential street,Medium
Broken sidewalk at office area,Medium
Broken sidewalk at slum area,Medium
Sewage overflowing on residential street street,High
Dust from construction at factory gate,Medium
Traffic signal malfunctioning at highway,Medium
Posters defacing public property at flyover,Low
Exposed live electric wire near hospital entrance,High
Encroachment by vendors at college campus,Low
Stray animals loitering at residential street,Low
Public toilet unhygienic at stadium,Low
Major pothole on railway station causing accidents,High
Exposed live electric wire near underpass,High
Graffiti on walls near bus stop,Low
Park benches broken at highway,Low
Flooded underpass at hospital entrance blocking traffic,High
Water leakage from pipe at riverbank,Medium
Fire hazard due to garbage burning at residential street,High
Dim lights making park unsafe at factory gate,Low
Fire hazard due to garbage burning at community hall,High
Illegal parking near community hall,Medium
Water leakage from pipe at railway station,Medium
Power line down after storm near riverbank,High
Major pothole on community hall causing accidents,High
Traffic signal malfunctioning at highway,Medium
Blocked drainage causing foul smell at riverbank,Medium
Contaminated water supply reported at residential street,High
Overflowing garbage bins at bus stop,Medium
Sewage overflowing on residential street street,High
Encroachment by vendors at underpass,Low
Water leakage from pipe at school gate,Medium
Major pothole on market causing accidents,High
Posters defacing public property at temple road,Low
Broken sidewalk at college campus,Medium
Water leakage from pipe at temple road,Medium
Exposed live electric wire near hospital entrance,High
Public toilet unhygienic at factory gate,Low
Overflowing garbage bins at residential street,Medium
Posters defacing public property at factory gate,Low
Exposed live electric wire near market,High
Overflowing garbage bins at underpass,Medium
Graffiti on walls near community hall,Low
Park benches broken at riverbank,Low
Traffic signal malfunctioning at railway station,Medium
Collapsed footbridge at playground,High
Park benches broken at highway,Low
Open manhole at riverbank posing danger,High
Major pothole on hospital entrance causing accidents,High
Dust from construction at slum area,Medium
Illegal parking near main road,Medium
Contaminated water supply reported at temple road,High
Fire hazard due to garbage burning at railway station,High
Flooded underpass at office area blocking traffic,High
Minor cracks on road at slum area,Low
Stray animals loitering at office area,Low
Power line down after storm near playground,High
Broken sidewalk at office area,Medium
Traffic signal malfunctioning at school gate,Medium
Street vendors occupying footpath at railway station,Low
Streetlight not working near railway station,Medium
Power line down after storm near office area,High
Contaminated water supply reported at railway station,High
Posters defacing public property at community hall,Low
Flooded underpass at school gate blocking traffic,High
Exposed live electric wire near shopping mall,High
Major pothole on slum area causing accidents,High
Overflowing garbage bins at stadium,Medium
Rickshaw stand creating congestion at college campus,Medium
Contaminated water supply reported at factory gate,High
Power line down after storm near school gate,High
Stray animals loitering at slum area,Low
Graffiti on walls near bus stop,Low
Street vendors occupying footpath at college campus,Low
Overflowing garbage bins at college campus,Medium
Dim lights making park unsafe at residential street,Low
Improper street sweeping at highway,Low
